bookid,username,opentime,closetime,hotspotName,hotspotType,clickResult,clickTime,remarks
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p13_nextButton,next_button,,2020-09-15 19:43:51,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p14_nextButton,next_button,,2020-09-15 19:43:52,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p15_nextButton,next_button,,2020-09-15 19:43:52,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p15_nextButton,next_button,,2020-09-15 19:43:52,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p15_nextButton,next_button,,2020-09-15 19:43:53,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p16_nextButton,next_button,,2020-09-15 19:43:53,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p17_nextButton,next_button,,2020-09-15 19:43:54,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p17_nextButton,next_button,,2020-09-15 19:43:56,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,p18_nextButton,next_button,,2020-09-15 19:43:56,\N
1,001,2020-09-15 19:43:23,2020-09-15 19:43:57,q17_nextButton,next_button,,2020-09-15 19:43:57,\N
2,001,2020-09-15 19:44:31,\N,p1_nextButton,next_button,,2020-09-15 19:51:22,\N
2,001,2020-09-15 19:44:31,\N,p1_nextButton,next_button,,2020-09-15 19:51:27,\N
2,001,2020-09-15 19:44:31,\N,p2_nextButton,next_button,,2020-09-15 19:51:42,\N
2,001,2020-09-15 19:44:31,\N,p3_nextButton,next_button,,2020-09-15 19:51:56,\N
2,001,2020-09-15 19:44:31,\N,q3,discussion,b_answer_112,2020-09-15 19:52:29,\N
2,001,2020-09-15 19:44:31,\N,q3_nextButton,next_button,,2020-09-15 19:52:32,\N
2,001,2020-09-15 19:44:31,\N,p4_nextButton,next_button,,2020-09-15 19:53:17,\N
2,001,2020-09-15 19:44:31,\N,p5_nextButton,next_button,,2020-09-15 19:53:32,\N
2,001,2020-09-15 19:44:31,\N,q5_nextButton,next_button,,2020-09-15 19:54:05,\N
2,001,2020-09-15 19:44:31,\N,p6_backButton,back_button,,2020-09-15 19:54:11,\N
2,001,2020-09-15 19:44:31,\N,q5,discussion,c_answer_115,2020-09-15 19:54:34,\N
2,001,2020-09-15 19:44:31,\N,q5_nextButton,next_button,,2020-09-15 19:54:38,\N
2,001,2020-09-15 19:44:31,\N,p6_nextButton,next_button,,2020-09-15 19:54:55,\N
2,001,2020-09-15 19:44:31,\N,q6,discussion,a_answer_121,2020-09-15 19:55:11,\N
2,001,2020-09-15 19:44:31,\N,q6_nextButton,next_button,,2020-09-15 19:55:13,\N
2,001,2020-09-15 19:44:31,\N,p7_nextButton,next_button,,2020-09-15 19:55:28,\N
2,001,2020-09-15 19:44:31,\N,p8_nextButton,next_button,,2020-09-15 19:57:35,\N
2,001,2020-09-15 19:44:31,\N,p9_nextButton,next_button,,2020-09-15 19:57:52,\N
2,001,2020-09-15 19:44:31,\N,q9,discussion,b_answer_127,2020-09-15 19:58:34,\N
2,001,2020-09-15 19:44:31,\N,q9_nextButton,next_button,,2020-09-15 19:58:40,\N
2,001,2020-09-15 19:44:31,\N,p10_nextButton,next_button,,2020-09-15 19:59:06,\N
2,001,2020-09-15 19:44:31,\N,q10,discussion,a_answer_132,2020-09-15 19:59:27,\N
2,001,2020-09-15 19:44:31,\N,q10_nextButton,next_button,,2020-09-15 19:59:29,\N
2,001,2020-09-15 19:44:31,\N,p11_nextButton,next_button,,2020-09-15 19:59:31,\N
2,001,2020-09-15 19:44:31,\N,p12_nextButton,next_button,,2020-09-15 19:59:33,\N
2,001,2020-09-15 19:44:31,\N,p13_nextButton,next_button,,2020-09-15 19:59:34,\N
2,001,2020-09-15 19:44:31,\N,p14_nextButton,next_button,,2020-09-15 19:59:41,\N
2,001,2020-09-15 19:44:31,\N,q14_nextButton,next_button,,2020-09-15 20:00:04,\N
2,001,2020-09-15 19:44:31,\N,p15_nextButton,next_button,,2020-09-15 20:00:14,\N
2,001,2020-09-15 19:44:31,\N,p16_nextButton,next_button,,2020-09-15 20:00:16,\N
2,001,2020-09-15 19:44:31,\N,q16_nextButton,next_button,,2020-09-15 20:01:02,\N
2,001,2020-09-15 19:44:31,\N,p17_nextButton,next_button,,2020-09-15 20:01:15,\N
2,001,2020-09-15 19:44:31,\N,q17_nextButton,next_button,,2020-09-15 20:02:14,\N
2,001,2020-09-15 19:44:31,\N,p18_nextButton,next_button,,2020-09-15 20:02:16,\N
2,001,2020-09-15 19:44:31,\N,q18,discussion,c_answer_143,2020-09-15 20:02:52,\N
